user_input,response
me fale sobre a FLIP,"A FLIP – Festa Literária Internacional de Paraty é um festival intimista e sofisticado realizado na histórica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programação. Acesse www.flip.org.br para mais informações. 📚"
qual a maior feira literária do Brasil?,"A Bienal Internacional do Livro de São Paulo é considerada a maior feira literária do Brasil e uma das maiores da América Latina, recebendo milhões de visitantes por edição. 🏆"
quais autores participam da Bienal do Livro Bahia?,"A Bienal do Livro Bahia já recebeu como convidados nomes como Milton Hatoum, Ailton Krenak e Itamar Vieira Junior, entre outros autores brasileiros e internacionais. Os convidados de cada nova edição são anunciados em www.bienaldolivrobahia.com.br. ✍️"
quero saber tudo sobre a FLOR,"A FLOR – Feira Literária do Orgulho e Resistência é uma feira literária dedicada a vozes LGBTQIA+, periféricas e de resistência, celebrando a diversidade e o poder transformador da literatura. Ocorre em junho em São Paulo (SP). Mais informações em www.feiraflor.com.br."
qual o endereço completo da Bienal Rio?,"O endereço da Bienal do Rio de Janeiro é: Av. Salvador Allende, 6555 – Barra da Tijuca, Rio de Janeiro (RJ) – CEP 22783-127 (Riocentro, Pavilhão 3). Para informações de transporte e estacionamento, consulte www.bienaldorio.com.br. 🗺️"
quanto custa o ingresso da FLOR?,"Os preços dos ingressos da FLOR – Feira Literária do Orgulho e Resistência variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.feiraflor.com.br. 🎟️"
a Bienal Internacional do Livro de Pernambuco cobra entrada?,"Os preços dos ingressos da Bienal Internacional do Livro de Pernambuco variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldolivrope.com.br. 🎟️"
onde fica a Feira do Livro POA?,A Feira do Livro de Porto Alegre é realizada em Porto Alegre (RS) – Praça da Alfândega. Ótima oportunidade para conhecer a cidade também! 📍
vale a pena ir na Bienal PE?,"Com certeza! A Bienal Internacional do Livro de Pernambuco é um dos grandes festivais do livro no coração do Nordeste, destacando autores regionais e internacionais com rica programação cultural. Confira a programação em www.bienaldolivrope.com.br e planeje sua visita! 🌟"
tem entrada gratuita na Festa Literária POA?,"Os preços dos ingressos da Festa Literária de Porto Alegre variam a cada edição. Em geral, há ingressos simbólicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em festaliterariaportaalegre.com.br. 🎟️"
